"","X1","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth"
"67","67",1,462455.188,82374.539,2809328,379894,125412704256,44641.531,8115.628,47521,10390,60264,502.054,484.838,8.562,121.09,64.107,122.396,508.157,489.378,8.496,18,84,1,959,773,16
"68","68",1,512827.781,80590.156,3115332,382212,137173721088,44031.816,7987.346,46629,11838,60546,532.786,621.358,9.5,108.217,45.223,105.385,539.467,624.1,9.48,221,216,1,787,624,18
"69","69",1,400456.906,81388.977,2432700,424850,104938250240,43136.535,6601.259,43652,12303,58995,522.28,728.636,6.5,87.104,40.704,84.285,518.82,727.034,6.499,152,489,1,788,428,12
"70","70",1,421322.719,85378.75,2559456,443406,119546658816,46707.84,6499.034,49251,8982,58489,635.064,580.422,6.5,83.515,36.704,81.242,640.074,582.419,6.527,280,342,1,724,539,12
"71","71",1,393254.188,69333.82,2388945,340444,99848732672,41796.164,6239.417,42041,9017,58829,290.805,655.311,8.065,78.704,39.886,72.011,288.095,661.546,7.999,72,238,1,426,780,15
"72","72",1,443845.562,86290.812,2696278,435888,113048313856,41927.543,7047.803,42231,11994,59637,712.994,502.266,6.94,94.305,42.829,91.648,713.518,499.458,6.996,409,85,1,537,849,13
"73","73",1,318680.031,63684.391,1935921,315401,88562343936,45746.879,7033.14,47929,7680,59017,650.754,454.715,7,74.087,33.311,72.172,652.913,452.534,7.001,449,84,1,380,736,13
"74","74",1,348971.344,60936.086,2119935,302132,87953285120,41488.672,6985.931,41798,7825,57982,802.923,652.732,8.006,69.687,29.167,69.481,800.446,648.695,7.983,620,332,1,400,592,15
"75","75",1,324064.219,63707.57,1968629,321170,92785180672,47131.879,6432.072,49692,10189,60389,424.048,594.869,7,81.311,38.147,80.121,421.981,611.125,7.011,269,230,1,399,728,13
"76","76",1,310736.406,60459.523,1887665,308329,87304863744,46250.188,7193.95,49443,9172,58931,784.387,350.984,7,76.503,36.326,73.844,790.174,367.723,7.011,642,5,1,296,695,13
"77","77",1,306933,55184.094,1864560,267848,87633707008,46999.672,6255.729,49315,8558,59571,293.353,725.309,8,72.986,34.342,71.656,304.384,721.973,8.009,5,530,1,588,451,15
"78","78",1,357892.281,59541.449,2174128,292080,88292982784,40610.758,9665.031,42235,10004,59359,442.439,260.483,8.5,68.282,30.311,65.466,448.066,258.924,8.501,217,5,1,445,551,16
"79","79",1,408359.688,64276.184,2480708,310118,106453983232,42912.742,9067.106,46027,9595,58935,554.855,573.832,8.961,63.514,23.414,65.659,555.603,575.393,9.023,285,324,1,560,481,17
"80","80",1,365828.656,62473.941,2222340,314044,92865036288,41787.051,9615.697,44228,10368,58213,274.54,361.837,8.03,65.378,25.385,66.035,274.131,363.854,8.003,53,108,1,476,492,15
"81","81",1,397570.875,66065.266,2415168,326270,96615153664,40003.492,10379.744,41412,9481,60102,369.993,421.954,8.537,81.911,39.195,80.291,373.023,430.641,8.485,190,40,1,306,785,16
"82","82",1,360984.875,57403.875,2192915,277130,89642721280,40878.34,9681.475,43414,10622,59259,740.064,701.965,8.941,61.05,23.156,62.221,741.12,709.291,9.003,565,441,1,416,521,17
"83","83",1,323456.969,56295.156,1964940,280738,78919606272,40163.875,10590.801,41971,9350,58571,225.346,256.832,8,66.049,28.536,63.944,225.095,254.693,7.991,49,14,1,352,576,15
"84","84",1,506566.531,82249.023,3077296,417142,119690887168,38894.824,11318.541,39947,9752,58699,791.006,530.293,8.544,108.585,56.285,106.817,790.776,525.055,8.494,684,4,1,234,1010,16
"85","85",1,389120.406,63687.488,2363833,302608,96143933440,40672.895,10528.546,43577,9803,60056,739.796,478.321,8.941,83.552,40.555,82.578,728.38,454.634,8.994,485,140,1,479,682,17
"86","86",1,247966.891,43741.453,1506352,203974,62746804224,41654.809,9807.802,45144,10690,59248,269.857,717.608,8.5,58.292,25.374,57.282,279.914,726.302,8.482,21,506,1,484,411,16
"87","87",1,411719.781,66263.344,2501120,335474,117636603904,47033.57,9047.796,51405,11153,59981,697.638,535.085,8.553,74.569,33.149,72.27,704.773,535.683,8.51,368,365,1,648,336,16
"88","88",1,573568.438,86683.234,3484320,441075,161721090048,46413.961,8787.248,50714,9704,60555,159.596,578.435,8.959,92.908,46.079,87.007,161.114,587.996,9.078,8,110,1,308,879,17
"89","89",1,509195.094,81575.812,3093264,408526,133129011200,43038.359,10103.015,47737,10438,60041,344.699,690.376,8.542,77.174,32.043,75.572,344.564,692.285,8.535,14,422,1,624,564,16
"90","90",1,496770.844,78132.617,3017789,386699,141414809600,46860.402,9272.085,51240,11467,60601,450.547,483.61,9,96.24,48.697,93.792,445.027,485,9.017,64,341,1,884,360,17
"91","91",1,618228.75,94029.625,3755623,478168,172550799360,45944.652,9117.331,50555,10829,60365,186.386,515.65,8.941,109.952,55.854,107.983,188.385,511.801,9.083,26,22,1,318,996,17
"92","92",1,344289.375,55191.48,2091493,268213,86099468288,41166.512,10888.308,45078,10527,59164,369.234,724.517,8.942,69.179,31.473,67.208,369.451,727.114,9.001,196,394,1,336,619,17
"93","93",1,354968.25,59503.348,2156365,279535,97113006080,45035.516,9445.354,48671,11262,61268,563.183,503.922,8.941,87.09,42.247,87.452,566.084,505.13,8.989,189,336,1,748,397,17
"94","94",1,539542.062,89005.727,3277616,442770,151763419136,46302.988,8433.461,49487,10538,60641,560.404,510.347,8.519,113.1,57.584,112.447,566.536,524.352,8.52,306,14,1,444,1003,16
"95","95",1,581135.438,93170.805,3530288,446588,166235652096,47088.41,7815.593,49820,11118,60451,577.622,518.532,8.954,111.124,56.287,109.285,586.943,526.505,9.037,214,61,1,739,873,17
