"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"96",96,32.594,83.881,198,160,4758629,24033.48,7299.146,23721,13378,41042,174.212,178.222,7.465,1.728,0.568,1.716,174.216,178.207,7.461,168,175,6,13,8,4,FALSE,FALSE
"97",97,5.432,25.03,33,33,545800,16539.395,1885.004,16411,13576,21623,95.333,223.03,6.636,0.871,0.249,0.884,95.348,223.049,6.65,92,220,6,6,6,2,TRUE,TRUE
"98",98,8.395,30.926,51,44,1223659,23993.314,7684.141,23074,13568,40183,527.059,237.529,6.804,1.064,0.214,1.073,527.037,237.507,6.761,524,236,6,7,5,3,TRUE,TRUE
"99",99,14.815,47.025,90,90,1984166,22046.289,4796.262,22604,13714,31149,131.356,262.389,6.456,1.393,0.54,1.34,131.367,262.414,6.465,129,257,6,6,12,2,FALSE,FALSE
"100",100,17.778,52.543,108,84,2971538,27514.24,11631.52,24973,13479,65028,59.667,292.231,7.102,1.413,0.31,1.376,59.727,292.403,7.107,56,289,6,8,8,4,TRUE,TRUE
"101",101,4.28,22.962,26,26,435239,16739.961,2276.988,16366,13409,22560,253.885,311.154,6.385,0.996,0.415,0.946,253.875,311.184,6.349,253,308,6,3,9,2,FALSE,FALSE
"102",102,3.128,19.894,19,19,315924,16627.578,2015.472,16727,13427,19760,605.368,351.105,6.316,1.097,0.43,1.093,605.495,351.057,6.324,601,350,6,9,4,2,FALSE,FALSE
"103",103,38.026,102.985,231,156,7466001,32320.352,16129.684,27840,13465,65535,317.788,365.377,7.957,2.113,0.724,2.092,317.407,364.917,7.975,313,360,6,13,13,5,TRUE,TRUE
"104",104,1.646,9.791,10,10,173346,17334.6,2564.42,18048,13459,21629,765.5,393.5,6,0.511,0.187,0.656,765.52,393.427,6,764,392,6,4,4,1,TRUE,TRUE
"105",105,19.754,60.404,120,97,2728967,22741.393,7079.98,21174.5,13464,44476,426.667,409.925,7.825,1.506,0.429,1.474,426.627,410,7.756,424,405,6,7,11,4,TRUE,TRUE
