"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"268",268,7.408,28.858,45,34,951067,21134.822,5593.34,19683,13583,33619,626.933,779.444,13.489,1.113,0.303,0.981,626.926,779.387,13.448,625,778,12,5,4,4,FALSE,FALSE
"269",269,9.054,34.34,55,46,1044195,18985.363,4370.356,17596,13611,30128,657.691,815.818,13.727,1.096,0.259,1.077,657.719,815.757,13.691,655,814,12,6,5,4,FALSE,FALSE
"270",270,25.68,65.611,156,110,3760652,24106.744,7946.625,22609,13484,41864,695.583,817.32,13.609,1.619,0.272,1.618,695.606,817.237,13.584,692,814,12,8,8,5,TRUE,FALSE
"271",271,5.268,30.271,32,32,544648,17020.25,2878.529,16167,13326,22567,570.438,824.594,13.062,0.956,0.384,1.022,570.417,824.594,13.057,568,822,12,8,7,3,FALSE,FALSE
"272",272,6.914,29.926,42,40,681327,16222.071,2475.163,15957,13276,23295,639.571,840.429,13.214,1.015,0.403,0.979,639.643,840.5,13.201,638,836,12,4,9,3,FALSE,FALSE
"273",273,9.383,33.58,57,57,1016130,17826.842,2564.752,17732,13307,24550,693.825,865.316,12.561,1.035,0.318,1.007,693.76,865.309,12.581,690,863,12,8,6,2,FALSE,FALSE
"274",274,26.832,72.333,163,121,3878062,23791.791,7919.015,21615,13276,44459,568.706,903.35,13.638,1.675,0.421,1.638,568.688,903.396,13.609,565,898,12,9,11,4,FALSE,FALSE
"275",275,10.041,38.65,61,53,1241710,20355.902,5430.571,19475,13322,32535,718.525,966.705,13.738,1.234,0.388,1.231,718.681,966.687,13.69,714,964,12,9,5,4,FALSE,FALSE
"276",276,11.688,40.132,71,57,1473847,20758.408,6670.701,18840,13315,43621,698.62,973.099,13.493,1.215,0.256,1.27,698.662,973.058,13.457,696,970,12,6,7,4,FALSE,FALSE
"277",277,18.601,58.403,113,103,2117367,18737.762,3892.191,18041,13232,29940,637,150.124,13.673,1.359,0.35,1.366,637.053,150.014,13.659,632,146,13,9,10,3,TRUE,TRUE
"278",278,6.091,27.409,37,36,662914,17916.594,3225.484,17903,13328,24482,705.081,197.216,13.514,0.896,0.25,0.908,705.102,197.192,13.515,703,194,13,6,7,3,TRUE,FALSE
"279",279,8.725,35.822,53,47,890298,16798.076,3189.08,15748,13264,24212,664.094,216.132,13.811,1.112,0.285,1.137,664.071,216.131,13.832,660,214,13,8,5,3,TRUE,FALSE
"280",280,6.749,29.34,41,39,708966,17291.854,3723.259,16064,13243,25346,596.488,217.39,13.805,0.947,0.255,0.999,596.46,217.431,13.836,594,215,13,6,5,3,TRUE,TRUE
"281",281,7.737,31.375,47,43,868352,18475.574,4575.403,17057,13275,30088,745.383,222.149,13.723,1.03,0.293,1.026,745.46,222.102,13.717,742,220,13,7,5,3,FALSE,FALSE
"282",282,2.14,12.723,13,13,198103,15238.692,1288.724,15058,13946,18431,648.692,223.846,13.538,0.66,0.103,0.663,648.678,223.813,13.523,648,223,13,3,3,2,TRUE,FALSE
"283",283,13.828,53.922,84,78,1489279,17729.512,3678.925,17132.5,13267,30555,564.274,232.94,13.643,1.379,0.577,1.319,564.207,232.886,13.671,559,227,13,12,10,3,FALSE,FALSE
"284",284,2.798,16.825,17,17,262029,15413.471,1685.221,15258,13285,19064,643.824,237.647,13.706,0.717,0.216,0.743,643.812,237.6,13.71,643,236,13,3,5,2,FALSE,FALSE
"285",285,10.041,35.822,61,52,1147200,18806.557,3850.449,18539,13747,33816,738.852,248.459,13.918,1.127,0.218,1.115,738.812,248.52,13.878,737,245,13,5,7,3,TRUE,FALSE
"286",286,24.363,64.506,148,113,3476983,23493.129,6748.249,22378,13335,42810,558.75,260.574,14.02,1.55,0.324,1.5,558.844,260.517,14,554,256,13,9,10,4,FALSE,FALSE
"287",287,11.194,40.718,68,60,1114236,16385.824,2518.875,15783.5,13254,24433,733.735,264.059,13.809,1.198,0.343,1.216,733.668,264.059,13.817,730,262,13,9,5,3,FALSE,FALSE
"288",288,33.911,80.365,206,154,4567625,22172.938,6387.601,21741,13322,42443,537.51,271.888,14.049,1.704,0.343,1.7,537.443,271.951,14.037,533,267,13,10,11,4,TRUE,FALSE
"289",289,6.749,26.824,41,34,763180,18614.146,3528.509,18450,13358,27781,709.219,281.415,13.976,1.028,0.193,1.052,709.173,281.397,13.923,707,280,13,6,4,3,TRUE,FALSE
"290",290,6.585,30.03,40,38,668129,16703.225,2310.21,16323,13325,22338,573.85,285.775,14.225,0.956,0.266,0.959,573.859,285.762,14.21,571,283,13,6,6,3,FALSE,FALSE
"291",291,5.597,21.962,34,34,590687,17373.146,3352.261,16053.5,13289,24150,561.118,325.647,13.441,0.826,0.191,0.849,561.038,325.688,13.447,559,323,13,5,6,2,TRUE,TRUE
"292",292,2.14,13.412,13,13,194506,14962,1276.955,14725,13290,17545,703.385,343.154,13.462,0.676,0.143,0.643,703.364,343.147,13.454,702,342,13,4,3,2,FALSE,FALSE
"293",293,24.692,70.747,150,115,3166269,21108.461,5807.395,19874.5,13314,37234,538.753,350.927,14.227,1.544,0.367,1.573,538.733,350.88,14.247,534,347,13,9,10,4,FALSE,FALSE
"294",294,3.786,18.411,23,20,422493,18369.262,4262.528,17094,13437,28916,629.261,347.783,13.739,0.841,0.213,0.809,629.269,347.776,13.717,628,346,13,4,4,3,TRUE,FALSE
"295",295,9.877,41.959,60,53,1061444,17690.732,3729.978,16669.5,13393,28349,514.15,356.283,13.8,1.188,0.32,1.212,514.204,356.294,13.794,510,354,13,8,6,3,FALSE,FALSE
"296",296,37.203,95.051,226,181,4753627,21033.748,5806.756,19778.5,13302,41386,552.907,398.411,14.084,1.859,0.622,1.87,552.944,398.629,14.046,547,393,13,13,12,3,FALSE,FALSE
"297",297,22.223,89.399,135,125,2292673,16982.764,2994.598,16331,13356,30292,527.185,403.178,14.259,1.949,0.732,1.84,527.357,403.304,14.216,521,399,13,13,12,4,FALSE,FALSE
"298",298,2.634,14.55,16,16,248976,15561,1516.356,15397,13285,19056,663.125,406.812,13.562,0.697,0.151,0.682,663.162,406.839,13.565,661,406,13,5,3,2,FALSE,FALSE
"299",299,20.577,71.333,125,106,2360917,18887.336,4854.59,17551,13233,36598,551.976,439.552,13.944,1.674,0.598,1.626,551.584,439.606,13.915,546,436,13,15,7,3,FALSE,FALSE
"300",300,7.078,37.545,43,42,672648,15642.977,1853.815,15423,13236,19971,666.209,481.279,13.651,1.196,0.532,1.118,666.174,481.253,13.656,664,477,13,6,11,3,TRUE,FALSE
"301",301,3.786,20.583,23,23,389977,16955.521,2306.411,16404,13479,20376,654.652,525.783,13.304,0.8,0.242,0.84,654.735,525.726,13.289,652,524,13,5,5,2,FALSE,FALSE
"302",302,8.231,33.995,50,47,863593,17271.859,2738.894,16882.5,13433,22513,545.78,530.98,13.74,1.019,0.306,0.997,545.854,530.919,13.701,542,528,13,7,6,3,TRUE,FALSE
"303",303,13.498,43.164,82,81,1362553,16616.5,2111.731,16277.5,13252,22777,706.354,538.268,13.451,1.161,0.352,1.185,706.397,538.259,13.435,703,535,13,8,9,3,TRUE,FALSE
"304",304,11.688,42.304,71,62,1420832,20011.719,4756.819,19723,13382,33363,566.408,541.901,13.732,1.191,0.292,1.222,566.471,541.812,13.663,564,539,13,6,8,3,FALSE,FALSE
"305",305,22.552,65.885,137,108,2630190,19198.467,4567.733,18329,13297,30010,604.489,552.686,13.956,1.488,0.331,1.478,604.529,552.7,13.953,600,549,13,10,9,3,TRUE,FALSE
"306",306,8.231,30.167,50,49,892825,17856.5,3321.522,17367.5,13305,27540,594.26,595.5,13.46,0.966,0.275,0.924,594.202,595.423,13.449,592,592,13,6,7,3,FALSE,FALSE
"307",307,4.28,18.652,26,26,453892,17457.385,2575.801,17436,13923,22295,653,608.692,13.5,0.764,0.162,0.723,652.978,608.749,13.491,651,607,13,5,5,2,TRUE,FALSE
"308",308,10.7,36.96,65,55,1261021,19400.322,4752.748,17861,13268,31595,579.631,651.954,13.908,1.166,0.243,1.169,579.645,651.895,13.863,578,649,13,5,8,3,TRUE,FALSE
"309",309,6.091,33.547,37,37,581479,15715.648,1961.549,15304,13236,20911,566.459,658.054,13.459,1.001,0.356,0.911,566.426,658.108,13.441,563,655,13,8,7,2,FALSE,FALSE
"310",310,3.786,22.962,23,23,336254,14619.739,1239.672,14005,13250,17050,558.913,665.87,13.522,0.827,0.209,0.763,558.906,665.909,13.513,557,664,13,5,5,2,TRUE,TRUE
"311",311,7.572,38.65,46,44,722197,15699.935,1970.12,15237.5,13246,20453,581.957,716.261,13.848,1.184,0.438,1.198,581.985,716.243,13.846,578,713,13,9,7,3,TRUE,FALSE
"312",312,12.84,51.958,78,69,1308537,16776.115,2841.254,16086,13247,25249,682.962,733.449,14.141,1.274,0.373,1.307,682.869,733.318,14.113,680,730,13,9,8,3,FALSE,FALSE
"313",313,2.963,17.514,18,18,277348,15408.223,1839.932,14756,13292,20239,581,753.333,13.333,0.752,0.205,0.791,581.082,753.336,13.31,579,752,13,5,4,2,TRUE,FALSE
"314",314,4.938,23.411,30,29,593141,19771.367,4978.254,19399,13509,29993,565.033,786.7,13.7,0.884,0.271,0.859,565.075,786.754,13.696,563,785,13,5,4,3,FALSE,FALSE
"315",315,12.84,48.786,78,71,1408318,18055.359,3103.257,17913.5,13388,25361,667.513,798.038,13.667,1.36,0.49,1.42,667.469,798.066,13.638,663,795,13,10,6,3,FALSE,FALSE
"316",316,6.749,31.271,41,39,665556,16233.073,2196.169,15519,13246,21089,641.439,800,14.22,0.954,0.267,0.955,641.448,799.991,14.197,639,797,13,5,6,3,FALSE,FALSE
"317",317,6.914,33.202,42,38,739021,17595.738,3454.135,16747,13392,29612,606.976,873.952,13.833,1.082,0.336,1.125,607.059,873.922,13.838,604,871,13,6,7,3,TRUE,FALSE
"318",318,8.231,33.891,50,46,863787,17275.74,3503.06,16375,13277,24304,578.62,903.9,13.78,1.053,0.298,1.074,578.54,903.841,13.733,576,902,13,7,5,3,TRUE,FALSE
"319",319,21.564,60.163,131,97,3079604,23508.428,7407.741,22920,13277,43820,575.771,961.901,14.145,1.508,0.312,1.483,575.714,961.822,14.115,572,958,13,8,9,4,FALSE,FALSE
"320",320,4.774,23.307,29,29,446840,15408.275,1752.29,14898,13323,19088,589.103,963.483,14.414,0.847,0.267,0.821,589.083,963.503,14.4,588,961,13,4,6,3,FALSE,FALSE
"321",321,3.292,17.618,20,20,312654,15632.7,1802.435,14842,13425,19486,680.25,963.75,13.4,0.757,0.198,0.719,680.233,963.797,13.384,679,962,13,3,5,2,TRUE,FALSE
"322",322,1.646,11.585,10,10,159527,15952.7,1758.506,15635,14095,19239,623.2,977.1,13.7,0.675,0.269,0.626,623.22,977.092,13.705,622,976,13,3,3,3,FALSE,FALSE
"323",323,2.634,14.791,16,16,246461,15403.812,1910.462,14745.5,13331,18805,561.625,507.75,14.188,0.666,0.226,0.69,561.603,507.801,14.181,560,506,14,5,4,2,FALSE,FALSE
"324",324,6.749,37.994,41,41,652226,15907.951,2292.675,15129,13233,22020,624.268,649.049,14.268,1.208,0.548,1.143,624.129,649.129,14.286,619,645,14,12,8,2,FALSE,FALSE
