"","Volume..pixel.3.","Surface..pixel.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...pixel.","SD.dist..to.surf...pixel.","Median.dist..to.surf...pixel.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1060",195,308,195,139,238485,1223,0,1223,1223,1223,365.426,339.544,7.923,3.534,1.098,3.591,365.426,339.544,7.923,361,335,5,10,10,8,TRUE,FALSE
"1061",5,24,5,5,6132,1226.4,1.342,1227,1224,1227,479.2,342.2,5,0.98,0.448,1.131,479.2,342.201,5,478,341,5,3,3,1,TRUE,TRUE
"1062",81,176,81,67,139887,1727,0,1727,1727,1727,446.531,346.222,8.728,2.473,0.77,2.419,446.531,346.222,8.728,443,344,5,7,6,7,FALSE,FALSE
"1063",56,144,56,56,68880,1230,0,1230,1230,1230,371.339,349.732,5.696,2.347,1.034,2.206,371.339,349.732,5.696,367,347,5,9,6,3,FALSE,FALSE
"1064",55,136,55,52,95150,1730,0,1730,1730,1730,666.491,351.091,6.255,2.45,0.895,2.529,666.491,351.091,6.255,663,349,5,8,5,4,FALSE,FALSE
"1065",199,368,199,151,245168,1232,0,1232,1232,1232,589.864,352.719,6.538,4.043,1.701,3.784,589.864,352.719,6.538,581,349,5,15,8,5,FALSE,FALSE
"1066",196,346,196,139,241668,1233,0,1233,1233,1233,719.214,353.75,8.515,3.46,1.009,3.503,719.214,353.75,8.515,716,349,5,8,11,9,FALSE,FALSE
"1067",75,156,75,61,92700,1236,0,1236,1236,1236,690.84,354.613,6.12,2.527,0.911,2.45,690.84,354.613,6.12,686,352,5,10,6,4,TRUE,TRUE
"1068",610,886,610,401,754570,1237,0,1237,1237,1237,941.818,353.575,9.556,5.458,1.868,5.25,941.817,353.575,9.556,935,346,5,13,19,10,FALSE,FALSE
"1069",79,168,79,65,102073,1292.063,248.67,1235,1235,2362,348.823,354.608,6.987,2.504,0.805,2.423,348.753,354.503,7.109,346,352,5,7,6,7,TRUE,TRUE
"1070",122,234,122,93,158517,1299.32,288.134,1240,1240,2688,481.68,359.18,7.148,2.874,0.787,2.882,481.658,359.081,7.287,479,356,5,8,7,7,TRUE,TRUE
"1071",73,134,73,56,90374,1238,0,1238,1238,1238,723.671,357.89,7.192,2.21,0.41,2.224,723.671,357.89,7.192,721,356,5,6,5,5,FALSE,FALSE
"1072",310,506,310,223,384710,1241,0,1241,1241,1241,402.158,362.197,8.097,4.525,1.73,4.408,402.158,362.197,8.097,394,357,5,16,12,7,FALSE,FALSE
"1073",50,114,50,43,62150,1243,0,1243,1243,1243,570.08,362.84,6,2.111,0.698,2.096,570.08,362.84,6,567,360,5,7,6,4,TRUE,TRUE
"1074",7,30,7,7,8694,1242,0,1242,1242,1242,616.286,361.857,5.286,1.071,0.53,0.948,616.286,361.857,5.286,615,361,5,4,3,2,TRUE,FALSE
"1075",60,110,60,52,104400,1740,0,1740,1740,1740,937.983,362.233,6.633,2.043,0.519,2.063,937.984,362.233,6.633,937,360,5,3,6,5,FALSE,FALSE
"1076",22,94,22,22,27434,1247,0,1247,1247,1247,615.136,367,5.409,2.02,0.876,2.122,615.136,367,5.409,611,364,5,7,6,2,TRUE,FALSE
"1077",72,144,72,65,89712,1246,0,1246,1246,1246,813.25,366.097,5.819,2.328,0.759,2.284,813.25,366.097,5.819,810,364,5,8,5,4,FALSE,FALSE
"1078",102,212,102,78,127398,1249,0,1249,1249,1249,676.608,368.069,7.275,2.822,0.946,2.647,676.608,368.069,7.275,674,364,5,6,9,7,TRUE,TRUE
"1079",116,244,116,99,144768,1248,0,1248,1248,1248,333.552,367.784,7.319,2.824,0.826,2.724,333.552,367.784,7.319,330,365,5,8,7,7,FALSE,FALSE
"1080",108,190,108,86,135108,1251,0,1251,1251,1251,371.269,369.398,6.648,2.723,0.831,2.703,371.269,369.398,6.648,369,366,5,5,8,6,FALSE,FALSE
"1081",16,56,16,16,23840,1490,0,1490,1490,1490,569.125,368.625,5.688,1.457,0.682,1.37,569.125,368.625,5.688,567,367,5,6,4,2,TRUE,TRUE
"1082",447,612,447,277,664452,1486.47,11.21,1487,1250,1487,984.919,367.04,8.517,5.308,2.145,5.07,984.921,367.039,8.518,974,362,5,20,10,8,FALSE,FALSE
"1083",34,86,34,32,59002,1735.353,85.406,1750,1252,1750,322.5,370.912,6.059,1.765,0.647,1.756,322.487,370.903,6.068,320,370,5,7,3,3,FALSE,FALSE
"1084",161,242,161,107,202377,1257,0,1257,1257,1257,988.168,374.211,7.311,3.119,0.739,3.086,988.167,374.211,7.311,984,372,5,9,6,7,FALSE,FALSE
"1085",91,198,91,70,114296,1256,0,1256,1256,1256,831.901,373.253,7.538,2.62,0.771,2.556,831.901,373.253,7.538,827,371,5,8,7,6,TRUE,FALSE
"1086",250,450,250,189,315000,1260,0,1260,1260,1260,894.132,378.624,8.32,3.863,1.291,3.8,894.132,378.624,8.32,890,372,5,10,11,10,FALSE,FALSE
"1087",141,238,141,108,177801,1261,0,1261,1261,1261,479.092,381.213,6.539,3.012,0.87,3.086,479.092,381.213,6.539,475,378,5,9,8,4,TRUE,TRUE
"1088",85,188,85,73,107015,1259,0,1259,1259,1259,679.247,379.224,6.635,3.074,1.345,2.9,679.247,379.224,6.635,675,375,5,10,8,4,TRUE,FALSE
"1089",156,318,156,125,197028,1263,0,1263,1263,1263,362.038,380.942,7.955,3.746,1.611,3.367,362.039,380.942,7.955,357,375,5,12,11,7,TRUE,FALSE
"1090",286,478,286,202,362076,1266,0,1266,1266,1266,1001.108,382.504,8.885,4.081,1.284,3.983,1001.108,382.504,8.885,997,377,5,10,11,9,FALSE,FALSE
"1091",95,200,95,78,167365,1761.737,51.299,1767,1267,1767,505.211,382.421,7.558,2.771,0.958,2.814,505.214,382.416,7.566,502,380,5,9,6,5,TRUE,FALSE
"1092",224,590,224,201,416554,1859.616,578.24,2394,1269,3785,978.116,383.643,9.42,4.649,1.694,4.561,978.905,383.487,10.084,970,379,5,15,10,11,FALSE,FALSE
"1093",24,66,24,22,42624,1776,0,1776,1776,1776,790.75,387.125,5.875,1.48,0.368,1.447,790.75,387.125,5.875,789,386,5,4,4,3,FALSE,FALSE
"1094",43,122,43,41,54782,1274,0,1274,1274,1274,606.349,388.907,6.093,1.984,0.649,1.982,606.349,388.907,6.093,604,386,5,6,7,3,TRUE,FALSE
"1095",74,166,74,68,94572,1278,0,1278,1278,1278,417.838,391.284,6.284,2.518,0.921,2.531,417.838,391.284,6.284,415,388,5,6,9,4,FALSE,FALSE
"1096",99,174,99,72,126225,1275,0,1275,1275,1275,651.96,390.141,7.283,2.569,0.522,2.483,651.96,390.141,7.283,649,387,5,7,7,6,TRUE,TRUE
"1097",118,212,118,98,150686,1277,0,1277,1277,1277,1004.788,391.415,9.102,2.826,0.821,2.873,1004.788,391.415,9.102,1002,389,5,5,7,8,FALSE,FALSE
"1098",211,430,211,164,270291,1281,0,1281,1281,1281,727.834,392.137,8.066,3.98,1.522,3.744,727.834,392.137,8.066,721,385,5,13,12,7,TRUE,TRUE
"1099",98,186,98,82,125440,1280,0,1280,1280,1280,738.704,391.908,5.847,2.876,1.093,2.938,738.704,391.908,5.847,735,389,5,10,7,3,FALSE,FALSE
