 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
125	238	408	238	186	3332	14	0	14	14	14	252.147	244.172	6.992	4.879	2.316	4.508	252.147	244.172	6.992	244	236	5	16	14	5
126	2095	1296	2095	767	184360	88	0	88	88	88	168.155	269.398	8.442	7.821	1.940	8.134	168.155	269.398	8.442	158	260	5	21	21	8
127	453	652	453	313	39411	87	0	87	87	87	210.737	261.530	8.492	5.760	2.033	5.718	210.737	261.530	8.492	201	254	5	21	15	8
128	1759	1610	1759	873	306066	174	0	174	174	174	229.431	274.891	8.325	8.630	3.216	8.455	229.433	274.891	8.325	218	260	5	28	27	8
129	1158	936	1158	534	104220	90	0	90	90	90	198.444	284.469	8.363	6.464	1.848	6.928	198.444	284.469	8.363	190	276	5	18	18	7
130	776	668	776	427	72944	94	0	94	94	94	166.274	304.455	8.122	5.745	1.693	5.925	166.274	304.455	8.122	160	295	5	12	18	7
131	1174	886	1174	536	111530	95	0	95	95	95	202.208	315.074	8.434	6.508	1.767	6.731	202.209	315.074	8.434	193	306	5	18	18	7
132	688	628	688	362	66048	96	0	96	96	96	181.551	319.312	8.198	5.592	1.777	5.421	181.551	319.312	8.198	173	314	5	18	11	7
133	346	470	346	221	7612	22	0	22	22	22	347.517	332.610	6.922	5.041	1.903	4.883	347.517	332.610	6.922	338	328	5	17	12	5
134	204	270	204	135	20400	100	0	100	100	100	234.152	344.500	8.382	3.431	0.934	3.321	234.152	344.500	8.382	229	341	5	12	7	6
135	1263	848	1263	597	226077	179	0	179	179	179	290.165	373.039	8.972	6.973	2.187	6.733	290.167	373.039	8.972	284	364	5	12	21	8
136	758	674	758	387	137956	182	0	182	182	182	438.158	411.517	8.596	5.872	1.927	5.755	438.160	411.517	8.596	429	406	5	19	11	7
137	604	710	604	377	68252	113	0	113	113	113	449.583	477.411	7.871	5.797	2.151	5.761	449.581	477.410	7.871	438	470	5	21	15	7
138	469	488	469	283	18760	40	0	40	40	40	397.235	482.881	6.866	4.837	1.559	4.770	397.235	482.881	6.866	392	477	5	10	15	5
139	1925	1350	1925	863	223300	116	0	116	116	116	453.935	498.914	7.821	8.356	2.747	8.355	453.930	498.914	7.821	446	484	5	21	25	7
140	348	328	348	202	41064	118	0	118	118	118	486.534	497.092	8.101	3.955	0.541	3.952	486.534	497.092	8.101	483	493	5	8	8	7
141	876	762	876	445	161184	184	0	184	184	184	491.354	503.303	8.450	6.107	1.909	6.168	491.354	503.303	8.450	482	495	5	18	17	8
142	590	520	590	287	109150	185	0	185	185	185	509.644	508.824	8.953	4.900	0.957	4.895	509.643	508.824	8.953	504	503	5	13	11	8
